Distributors,Address,zipcode,lat,long,operating radius,operating districts,workforce,max_installations
FrigorTec GmbH,"88279 Amtzell, Germany",88279,47.71538925,9.761246295289354,,nan,60.0,1500.0
Rülke Kühlanlagen GmbH,"08056 Zwickau, Germany",8056,50.71011275612076,12.491740090283173,,nan,60.0,1500.0
Wärmetechnik Quedlinburg GmbH & Co. KG,"06484 Quedlinburg, Germany",6484,51.79354546325875,11.150819965996627,,nan,60.0,1500.0
Westfalia Wärmetechnik Heinrich Schröder GmbH,"32257 Bünde, Germany",32257,52.20012793998374,8.57368924864759,,nan,60.0,1500.0
Apollo Gößnitz GmbH,"04639 Gößnitz, Germany",4639,50.87855975866452,12.426716774937557,,nan,60.0,1500.0
Alfred Kaut GmbH & Co. Elektrizitäts Gesellschaft,"42277 Wuppertal, Germany",42277,51.282103758388864,7.220692893147858,,nan,60.0,1500.0
Otto Schatte GmbH,"23554 Lübeck, Germany",23554,53.883935679347715,10.674071860547306,150.0,23611;19069;20038;24534;23714;22844;24103;21039;24107;19273;17166;29614;25541;19065;18311,30.0,750.0
SCHRAG GmbH & CO. KG,"73061 Ebersbach an der Fils, Germany",73061,48.71097021082478,9.521930455839517,150.0,73430;21217;73033;70734;74405;70173;89168;70806;71543;71032;75172;72124;86609;74214;90599,30.0,750.0
BLOOM ENGINEERING EUROPA GmbH,"40549 Düsseldorf, Germany",40549,51.233057256001565,6.72012990351158,150.0,40210;47051;40699;42651;47798;42103;45403;34582;45127;45525;51371;41061;45879;41334;40667,30.0,750.0
Dr. Kurt Korsing GmbH & Co. KG,"50739 Köln-Bilderstöckchen, Germany",50739,50.978415590141296,6.927486903193077,150.0,51371;42799;40699;50667;42651;40210;42477;50126;42853;42103;53111;40667;34582;45525;47051,30.0,750.0
Ing. Carl Friedmann GmbH + Co. KG,"92637 Weiden, Germany",92637,49.6704287,12.166984528812986,150.0,92637;92681;91281;95100;92269;91257;92444;91249;95326;96268;90518;91126;90402;84066;84069,30.0,750.0
Kältetechnik aircool GmbH,"81829 Munich, Germany",81829,48.132017644922065,11.677867621221704,150.0,84405;83550;83527;80331;84072;84028;82131;85221;85077;84048;82110;83607;84140;82297;84489,30.0,750.0
SHK SYSTEM PLAN GmbH,"03044 Cottbus, Germany",3044,51.77722887218198,14.335299436424794,150.0,3042;3058;15230;12529;1945;14913;15236;2708;16225;10115;1454,30.0,750.0
SHL LEHMANN GmbH & CO KG,"72202 Nagold, Germany",72202,48.54347865,8.71973633066466,150.0,71032;72070;72202;71292;70173;72160;75172;70806;70734;76530;72124;68753;72336;76437;72172,30.0,750.0
A. Bernd Fronda Kälte Klima Schankanlagen und Großküchentechnik,"45659 Recklinghausen, Germany",45659,51.6022969690376,7.1901899538253895,150.0,44623;48249;44575;44135;45879;44787;46236;45127;44532;45525;45403;24576;48231;42103;48268,30.0,750.0
Abel Elektrotechnik GmbH & Co. KG,"84549 Engelsberg, Germany",84549,48.12969124999999,12.512000331248505,150.0,84489;84140;83527;84028;94032;84130;84405;83119;83317;94447;83550;84066;84072;94315;80331,30.0,750.0
ABR Erdwärme GmbH,"15738 Zeuthen, Germany",15738,52.349123358244285,13.62011752324731,150.0,15236;16225;10115;14461;15230;12529;14913;16515;14770;3042;3202;3058;14476;1945;16816,30.0,750.0
Ahrens Solartechnik GmbH & Co. KG,"31675 Bückeburg, Germany",31675,52.29280015,9.030864114045734,150.0,31542;27318;30159;32312;32049;31020;27211;33519;31008;29221;32105;27283;33311;27356;27749,30.0,750.0
Ahrensburger Zentralheizungsbau GmbH,"22926 Ahrensburg, Germany",22926,53.674296062149715,10.231113141386132,150.0,20038;22844;23611;19069;21039;24534;23714;19273;29614;24107;24103;19065;25541;21614;17166,30.0,750.0
aihtec SOLAR UG,"06110 Halle, Germany",6110,51.469438544819155,11.97198739660814,150.0,6366;6773;4425;6842;6120;4103;39175;6295;14476;39014;7743;7545;14913;3238;1445,30.0,750.0
ait-deutschland GmbH,"95359 Kasendorf, Germany",95359,50.04048915,11.344080993371318,150.0,95326;96268;7343;95100;96515;96145;92681;91332;91257;91052;92637;7318;96106;98693;91281,30.0,750.0
Alb Kältetechnik GmbH,"72336 Balingen, Germany",72336,48.265537174370785,8.862248307617705,150.0,72070;72336;72124;71032;72172;70173;78187;72160;72535;72202;73033;70734;70806;72419;78048,30.0,750.0
ALBAN technische Anlagen GmbH,"35321 Laubach, Germany",35321,50.5347468,9.01147172266039,150.0,35315;35305;34212;36037;35096;35037;36166;35510;36381;63065;35104;35576;61250;34454;60306,30.0,750.0
Alfons Weber GmbH,"40489 Düsseldorf, Germany",40489,51.316168450149505,6.7557082251316976,150.0,47051;45403;40210;45127;47798;46236;45879;40699;44575;42103;44787;42651;34582;46483;44623,30.0,750.0
Alois Mehlhart GmbH,"83209 Prien am Chiemsee, Germany",83209,47.8554814,12.380791069659253,150.0,83119;84489;83527;83550;84140;83317;84028;83607;84405;80331;94032;82057;84130;84072;94447,30.0,750.0
Alois Simon GmbH,"66424 Homburg, Germany",66424,49.323684325409424,7.334715405797603,150.0,66849;66869;18556;66386;54426;66484;66606;66111;67292;67098;66359;55232;67377;76829;54422,30.0,750.0
Aloys Steffes Sanitär-Installation GmbH,"53859 Niederkassel-Mondorf, Germany",53859,50.80803430735835,7.040302179608008,150.0,42799;53111;42477;51570;50667;51371;42651;40699;53545;42103;42853;40210;58507;50126;45525,30.0,750.0
Alternative Energie Mielke,"25358 Horst (Holstein), Germany",25358,53.810221578643805,9.620523350291313,150.0,22844;24107;24534;23714;20038;25541;23611;24103;24376;21039;19069;19273;25813;29614;19065,30.0,750.0
Alternative Technik Scherf GmbH,"03229 Altdöbern, Germany",3229,51.66249615,14.029420997980782,150.0,3058;3042;1945;12529;1454;14913;1067;3238;15236;15230;1445;16225;10115;1705;14461,30.0,750.0
Jan Anders Bad & Heizungsbau - Meisterbetrieb,"02956 Rietschen, Germany",2956,51.394180884409245,14.786110263054482,150.0,3058;3042;2708;1454;15230;1067;12529;1945;1445,30.0,750.0
Andre Weick Innovative Haus und Umwelttechnik GmbH,"69168 Wiesloch, Germany",69168,49.294623568255616,8.698198357308664,150.0,69115;64658;68526;69427;64625;68159;67105;64385;71543;76829;64319;74214;63785;74744;75172,30.0,750.0
Andreas Krüger GmbH,"78224 Singen, Germany",78224,47.76204189826086,8.853457189848971,150.0,72419;78187;78224;37434;88147;72336;72172;78048;72535;72124;79664;77781;72160;7919;57520,30.0,750.0
Andreas Rudolf Meisterbetrieb,"95445 Bayreuth, Germany",95445,49.95078262132679,11.558401273473525,150.0,95326;95100;92681;96268;92637;91257;91281;7343;96145;96515;90518;7554;91126;90402;91052,30.0,750.0
Anspach Sanitärservice,"56073 Koblenz, Germany",56073,50.344407753394925,7.5611418389302525,150.0,56203;56112;53545;6406;56472;35781;35576;65219;56170;57072;51570;53111;55218;53424;55430,30.0,750.0
API Energie- und Versorgungstechnik GmbH,"82166 Gräfelfing, Germany",82166,48.1221494,11.435932660256775,150.0,80331;85221;82110;84072;83550;82131;85077;84405;82297;86854;84028;85123;83527;82269;84048,30.0,750.0
