Distributors,Address,zipcode,lat,long,operating radius,operating districts,workforce,max_installations
FrigorTec GmbH,"88279 Amtzell, Germany",88279,47.71538925,9.761246295289354,,,40.0,2000.0
Rülke Kühlanlagen GmbH,"08056 Zwickau, Germany",8056,50.71011275612076,12.491740090283173,,,40.0,2000.0
Wärmetechnik Quedlinburg GmbH & Co. KG,"06484 Quedlinburg, Germany",6484,51.79354546325875,11.150819965996627,,,40.0,2000.0
Westfalia Wärmetechnik Heinrich Schröder GmbH,"32257 Bünde, Germany",32257,52.20012793998374,8.57368924864759,,,40.0,2000.0
Apollo Gößnitz GmbH,"04639 Gößnitz, Germany",4639,50.87855975866452,12.426716774937557,,,40.0,2000.0
Alfred Kaut GmbH & Co. Elektrizitäts Gesellschaft,"42277 Wuppertal, Germany",42277,51.282103758388864,7.220692893147858,,,40.0,2000.0
Otto Schatte GmbH,"23554 Lübeck, Germany",23554,53.883935679347715,10.674071860547306,150.0,LuebeckHansestadt;HerzogtumLauenburg;Segeberg;Ostholstein;Ploen;NeumuensterStadt;HamburgBundesland;Pinneberg;KielLandeshauptstadt;SchwerinLandeshauptstadt;Nordwestmecklenburg;Steinburg;LueneburgLand;Rendsburg_Eckernfoerde;RostockHansestadt,10.0,500.0
SCHRAG GmbH & CO. KG,"73061 Ebersbach an der Fils, Germany",73061,48.71097021082478,9.521930455839517,150.0,GoeppingenLand;EsslingenLand;StuttgartLandeshauptstadt;LudwigsburgLand;ReutlingenLand;BoeblingenLand;Rems_Murr_Land;TuebingenLand;HeidenheimLand;Alb_Donau_Land;UlmUniversitaetsstadtStadt;CalwLand;PforzheimStadtStadt;SchwaebischHallLand;HeilbronnStadtStadt,10.0,500.0
BLOOM ENGINEERING EUROPA GmbH,"40549 Düsseldorf, Germany",40549,51.233057256001565,6.72012990351158,150.0,DuesseldorfStadt;Rhein_Neuss;KrefeldStadt;MoenchengladbachStadt;Viersen;Mettmann;DuisburgStadt;SolingenStadt;LeverkusenStadt;EssenStadt;OberhausenStadt;WuppertalStadt;RemscheidStadt;KoelnStadt;GelsenkirchenStadt,10.0,500.0
Dr. Kurt Korsing GmbH & Co. KG,"50739 Köln-Bilderstöckchen, Germany",50739,50.978415590141296,6.927486903193077,150.0,KoelnStadt;LeverkusenStadt;Rhein_Erft_;Rhein_Neuss;SolingenStadt;Rhein_Sieg_;DuesseldorfStadt;BonnStadt;RemscheidStadt;Mettmann;Euskirchen;Dueren;KrefeldStadt;Oberbergischer;MoenchengladbachStadt,10.0,500.0
Ing. Carl Friedmann GmbH + Co. KG,"92637 Weiden, Germany",92637,49.6704287,12.166984528812986,150.0,TirschenreuthLand;SchwandorfLand;Amberg_SulzbachLand;Wunsiedeli.Fichtelgebirge;BayreuthLandLand;ChamLand;RegensburgLandLand;KulmbachLand;Neumarkti.d.OPf.Land;Hof;Saale_Orla_Land;KelheimLand;KronachLand;Schwabach;FuerthLandLand,10.0,500.0
Kältetechnik aircool GmbH,"81829 Munich, Germany",81829,48.132017644922065,11.677867621221704,150.0,OberallgaeuLand;EbersbergLand;ErdingLand;StarnbergLand;Rheinisch_Bergischer;DachauLand;FreisingLand;MiesbachLand;FuerstenfeldbruckLand;VerdenLand;Pfaffenhofena.d.IlmLand;Weilheim_SchongauLand;Rosenheim;Aichach_FriedbergLand;LandshutLandLand,10.0,500.0
SHK SYSTEM PLAN GmbH,"03044 Cottbus, Germany",3044,51.77722887218198,14.335299436424794,150.0,CottbusStadt;BautzenLand;GoerlitzLand;Teltow_FlaemingLand;BerlinBundesland;BarnimLand;MeißenLand;DresdenStadt;Ostprignitz_RuppinLand;Potsdam_MittelmarkLand,10.0,500.0
SHL LEHMANN GmbH & CO KG,"72202 Nagold, Germany",72202,48.54347865,8.71973633066466,150.0,CalwLand;FreudenstadtLand;BoeblingenLand;TuebingenLand;ReutlingenLand;BirkenfeldLand;StuttgartLandeshauptstadt;RottweilLand;EsslingenLand;LudwigsburgLand;PforzheimStadtStadt;RastattLand;Rems_Murr_Land;GoeppingenLand;SigmaringenLand,10.0,500.0
A. Bernd Fronda Kälte Klima Schankanlagen und Großküchentechnik,"45659 Recklinghausen, Germany",45659,51.6022969690376,7.1901899538253895,150.0,Recklinghausen;HerneStadt;GelsenkirchenStadt;BochumStadt;BottropStadt;Ennepe_Ruhr_;WittenbergLand;DortmundStadt;EssenStadt;OberhausenStadt;Coesfeld;DuisburgStadt;WuppertalStadt;Unna;HagenStadt,10.0,500.0
Abel Elektrotechnik GmbH & Co. KG,"84549 Engelsberg, Germany",84549,48.12969124999999,12.512000331248505,150.0,AltoettingLand;TraunsteinLand;VerdenLand;EbersbergLand;Rosenheim;ErdingLand;Landshut;MiesbachLand;OstallgaeuLand;FreisingLand;BerchtesgadenerLandLand;DachauLand;Straubing_BogenLand;Passau;DeggendorfLand,10.0,500.0
ABR Erdwärme GmbH,"15738 Zeuthen, Germany",15738,52.349123358244285,13.62011752324731,150.0,BerlinBundesland;BarnimLand;Teltow_FlaemingLand;Oberspreewald_LausitzLand;PotsdamStadt;BrandenburganderHavel;CottbusStadt;BurgenlandLand,10.0,500.0
Ahrens Solartechnik GmbH & Co. KG,"31675 Bückeburg, Germany",31675,52.29280015,9.030864114045734,150.0,Minden_Luebbecke;SchaumburgLand;Herford;Hameln_PyrmontLand;NienburgWeserLand;Lippe;BielefeldStadt;RegionHannoverLand;Guetersloh;DiepholzLand;HolzmindenLand;OsnabrueckLand;Hoexter;VechtaLand;Paderborn,10.0,500.0
Ahrensburger Zentralheizungsbau GmbH,"22926 Ahrensburg, Germany",22926,53.674296062149715,10.231113141386132,150.0,HamburgBundesland;Pinneberg;Segeberg;LuebeckHansestadt;HerzogtumLauenburg;NeumuensterStadt;Steinburg;LueneburgLand;Ostholstein;Ploen;KielLandeshauptstadt;StadeLand;Soltau_FallingbostelLand;SchwerinLandeshauptstadt;Nordwestmecklenburg,10.0,500.0
aihtec SOLAR UG,"06110 Halle, Germany",6110,51.469438544819155,11.97198739660814,150.0,HalleSaaleStadt;Anhalt_BitterfeldLand;NordsachsenLand;LeipzigStadt;Mansfeld_SuedharzLand;SoemmerdaLand;NordhausenLand;MagdeburgLandeshauptstadt;AltmarkSalzwedelLand;GeraStadt;AltenburgerLandLand;JenaStadt;KyffhaeuserLand;ErfurtStadt;WeimarStadt,10.0,500.0
