,Unnamed:0,long,lat,Administrativedistrict,Yearofconstruction,Typeofbuilding,Floors,Surfacearea[m^2],modernizationstatus,Numberofbuildings,averageheatdemand[kWh/m^2],maxheatdemand[kWh/m^2],weatherfilenames,Heatcapacity,Klimazone,zipcode
0,0,13.74,51.05,Dresden,1918,EFH,2,140.19,tabula_standard,2951,150.1,417.9,TRY2015_510685137913_Jahr_City_Dresden,158.4,4,1067
1,1,13.74,51.05,Dresden,1918,EFH,2,141.13,tabula_retrofit,1589,43.1,126.3,TRY2015_510685137913_Jahr_City_Dresden,71.28,4,1067
2,2,13.74,51.05,Dresden,1948,EFH,2,133.77,tabula_standard,3275,119.1,345.9,TRY2015_510685137913_Jahr_City_Dresden,158.4,4,1067
3,3,13.74,51.05,Dresden,1948,EFH,2,132.79,tabula_retrofit,1764,36.1,108.3,TRY2015_510685137913_Jahr_City_Dresden,71.28,4,1067
4,4,13.74,51.05,Dresden,1957,EFH,2,135.58,tabula_standard,310,150.1,428.7,TRY2015_510685137913_Jahr_City_Dresden,158.4,4,1067
5,5,13.74,51.05,Dresden,1957,EFH,2,136.52,tabula_retrofit,167,51.1,151.5,TRY2015_510685137913_Jahr_City_Dresden,71.28,4,1067
6,6,13.74,51.05,Dresden,1968,EFH,2,144.85,tabula_standard,379,146.1,410.7,TRY2015_510685137913_Jahr_City_Dresden,149.6,4,1067
7,7,13.74,51.05,Dresden,1968,EFH,2,144.52,tabula_retrofit,204,52.1,158.7,TRY2015_510685137913_Jahr_City_Dresden,67.32,4,1067
8,8,13.74,51.05,Dresden,1978,EFH,2,155.62,tabula_standard,344,100.1,291.9,TRY2015_510685137913_Jahr_City_Dresden,83.6,4,1067
9,9,13.74,51.05,Dresden,1978,EFH,2,156.35,tabula_retrofit,185,38.1,115.5,TRY2015_510685137913_Jahr_City_Dresden,37.62,4,1067
10,10,13.74,51.05,Dresden,1983,EFH,2,158.84,tabula_standard,425,71.1,191.1,TRY2015_510685137913_Jahr_City_Dresden,83.6,4,1067
11,11,13.74,51.05,Dresden,1983,EFH,2,163.49,tabula_retrofit,22,31.1,86.7,TRY2015_510685137913_Jahr_City_Dresden,37.62,4,1067
12,12,13.74,51.05,Dresden,1994,EFH,2,154.19,tabula_standard,1364,75.1,219.9,TRY2015_510685137913_Jahr_City_Dresden,66.0,4,1067
13,13,13.74,51.05,Dresden,1994,EFH,2,156.15,tabula_retrofit,72,40.1,122.7,TRY2015_510685137913_Jahr_City_Dresden,29.7,4,1067
14,14,13.74,51.05,Dresden,2001,EFH,2,153.37,tabula_standard,2081,54.1,169.5,TRY2015_510685137913_Jahr_City_Dresden,52.8,4,1067
15,15,13.74,51.05,Dresden,2001,EFH,2,153.14,tabula_retrofit,110,38.1,126.3,TRY2015_510685137913_Jahr_City_Dresden,23.76,4,1067
16,16,13.74,51.05,Dresden,2009,EFH,2,153.75,tabula_standard,2105,43.1,129.9,TRY2015_510685137913_Jahr_City_Dresden,52.8,4,1067
17,17,13.74,51.05,Dresden,2009,EFH,2,155.38,tabula_retrofit,111,29.1,90.3,TRY2015_510685137913_Jahr_City_Dresden,23.76,4,1067
18,18,13.74,51.05,Dresden,2015,EFH,2,157.85,tabula_standard,701,36.1,115.5,TRY2015_510685137913_Jahr_City_Dresden,52.8,4,1067
19,19,13.74,51.05,Dresden,2015,EFH,2,160.7,tabula_retrofit,37,32.1,104.7,TRY2015_510685137913_Jahr_City_Dresden,23.76,4,1067
20,20,13.74,51.05,Dresden,1918,RH,2,126.63,tabula_standard,1200,106.1,313.5,TRY2015_510685137913_Jahr_City_Dresden,140.8,4,1067
21,21,13.74,51.05,Dresden,1918,RH,2,129.58,tabula_retrofit,646,38.1,115.5,TRY2015_510685137913_Jahr_City_Dresden,63.36,4,1067
22,22,13.74,51.05,Dresden,1948,RH,2,116.22,tabula_standard,3388,82.1,245.1,TRY2015_510685137913_Jahr_City_Dresden,140.8,4,1067
23,23,13.74,51.05,Dresden,1948,RH,2,120.94,tabula_retrofit,1824,27.1,86.7,TRY2015_510685137913_Jahr_City_Dresden,63.36,4,1067
