"Provider","Series","Efficiency index at 55°C","Efficiency index at 35°C","Efficiency class at 35°C","Efficiency class at 55°C","Type","Heat output W10/W35 (kW)","Heat output A2/W35 (kW)","Heat output B0/W35 (kW)","COP W10/W35","COP W10/W55","COP A2/W35","COP A7/W55","COP A-7/W55","COP B0/W35","COP B0/W55","Inverter technology","SCOP","Noise level external (dB)","Noise level inside (dB)","Refrigerant","Height inside (cm)","Width inside (cm)","Depth inside (cm)","Height outside (cm)","Width outside (cm)","Depth outside (cm)","EHPA or CH quality label","Link to manufacturer"
"Hoval AG","UltraSource T comfort (13)","217","313","A+++","A+++","water-water","8.7","","","6.8","3.9","","","","","","yes","8","","41","R410A","125","62","76","","","","CH-HP-00794","http://www.hoval.com"
"Hoval AG","UltraSource T compact (13/200)","217","313","A+++","A+++","water-water","8.7","","","6.8","3.9","","","","","","yes","8","","41","R410A","195","61","77","","","","CH-HP-00794","http://www.hoval.com"
"Hoval AG","UltraSource T comfort (17)","226","311","A+++","A+++","water-water","15.2","","","6.5","3.9","","","","","","yes","8","","44","R410A","125","62","76","","","","CH-HP-00793","http://www.hoval.com"
"Hoval AG","UltraSource T comfort (8)","245","309","A+++","A+++","water-water","5.6","","","6.5","3.6","","","","","","yes","7.9","","45","R410A","125","62","76","","","","CH-HP-00794","http://www.hoval.com"
"Hoval AG","UltraSource T compact (8/200)","245","309","A+++","A+++","water-water","5.6","","","6.5","3.6","","","","","","yes","7.9","","45","R410A","195","60","77","","","","CH-HP-00794","http://www.hoval.com"
"CTA AG","Optiheat Inverta OH I 9e","197","285","A+++","A+++","water-water","12","","","6.5","3.8","","","","","","yes","7.31","","33","R410A","126","53","70","","","","CH-HP-00639","http://www.cta.ch"
"CTA AG","Optiheat Inverta OH I 17e","197","283","A+++","A+++","water-water","22.4","","","6.5","3.6","","","","","","yes","7.27","","39","R410A","126","53","70","","","","CH-HP-00639","http://www.cta.ch"
"CTA AG","Optiheat Inverta TWW OH I 4esr TWW","182","277","A+++","A+++","water-water","5.2","","","6.3","3.5","","","","","","yes","7.12","","29","R410A","190","60","70","","","","CH-HP-00611","http://www.cta.ch"
"Swisstherm AG","BWI Geoline 7 Dynamic","179","268","A++","A++","earth-water","","","9","","","","","","4.61","2.91","yes","5.34","","44","R410A","160","58","64","","","","CH-HP-00838","http://www.swisstherm.ch/de/produkte/waermepumpen/kompakt-luft-wasser-aussen.html"
"Swisstherm AG","BWI Geoline 7 Dynamic PC","179","268","A++","A++","earth-water","","","9","","","","","","4.61","2.91","yes","5.34","","44","R410A","160","58","64","","","","CH-HP-00838","http://www.swisstherm.ch/de/produkte/waermepumpen/kompakt-luft-wasser-aussen.html"
"Swisstherm AG","BWI Geoline 12 Dynamic","182","266","A++","A++","earth-water","","","16","","","","","","4.63","2.88","yes","5.3","","46","R410A","160","58","64","","","","CH-HP-00838","http://www.swisstherm.ch/de/produkte/waermepumpen/kompakt-luft-wasser-aussen.html"
"Swisstherm AG","BWI Geoline 12 Dynamic PC","182","266","A++","A++","earth-water","","","16","","","","","","4.63","2.88","yes","5.3","","46","R410A","160","58","64","","","","CH-HP-00838","http://www.swisstherm.ch/de/produkte/waermepumpen/kompakt-luft-wasser-aussen.html"
"Swisstherm AG","BWI Geoline 18 Dynamic","181","264","A++","A++","earth-water","","","22","","","","","","4.63","2.84","yes","5.28","","48","R410A","160","58","64","","","","CH-HP-00838","http://www.swisstherm.ch/de/produkte/waermepumpen/kompakt-luft-wasser-aussen.html"
"Swisstherm AG","BWI Geoline 18 Dynamic PC","181","264","A++","A++","earth-water","","","22","","","","","","4.63","2.84","yes","5.28","","48","R410A","160","58","64","","","","CH-HP-00838","http://www.swisstherm.ch/de/produkte/waermepumpen/kompakt-luft-wasser-aussen.html"
"Buderus","WI 65TU","178","263","A+++","A++","water-water","68.9","","","6.2","3.7","","","","","","no","","","61","R410A","167","100","81","","","","CH-HP-00437","https://www.buderus.com"
"Buderus","WI 35TU","180","262","A+++","A+++","water-water","35.6","","","6.2","3.8","","","","","","no","","","57","R410A","89","100","81","","","","CH-HP-00437","https://www.buderus.com"
"CTA AG","Optiheat OH 22e DUO HT","173","260","A+++","A+++","water-water","27.5","","","6.2","3.7","","","","","","no","6.71","","35","R410A","124","118","76","","","","CH-HP-00550","http://www.cta.ch"
